company,year,production_t,emissions_tco2
Angang Steel Co Ltd [100.0%],2020,32537822.28851481,68329426.80588111
Angang Steel Co Ltd [100.0%],2021,31928162.092044603,67049140.393293664
Angang Steel Co Ltd [100.0%],2022,31569477.53678367,66295902.82724571
Angang Steel Co Ltd [100.0%],2023,31989914.421631828,67178820.28542684
Angang Steel Co Ltd [100.0%],2024,32339603.837049957,67913168.05780491
Angang Steel Co Ltd [100.0%],2025,0.0,0.0
Angang Steel Co Ltd [100.0%],2026,0.0,0.0
Angang Steel Co Ltd [100.0%],2027,0.0,0.0
Angang Steel Co Ltd [100.0%],2028,0.0,0.0
Angang Steel Co Ltd [100.0%],2029,0.0,0.0
Angang Steel Co Ltd [100.0%],2030,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2020,1725974.856168762,3624547.1979544004
Anhui Guihang Special Steel Co Ltd [100.0%],2021,1693635.3172597333,3556634.16624544
Anhui Guihang Special Steel Co Ltd [100.0%],2022,1674608.8280808625,3516678.5389698115
Anhui Guihang Special Steel Co Ltd [100.0%],2023,1696910.9811081716,3563513.0603271606
Anhui Guihang Special Steel Co Ltd [100.0%],2024,1715460.3214152236,3602466.67497197
Anhui Guihang Special Steel Co Ltd [100.0%],2025,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2026,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2027,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2028,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2029,0.0,0.0
Anhui Guihang Special Steel Co Ltd [100.0%],2030,0.0,0.0
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2020,319624.97336458554,127849.98934583423
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2021,313636.16986291355,125454.46794516542
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2022,310112.74594090047,124045.0983763602
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2023,314242.77427929104,125697.10971171642
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2024,317677.8372991155,127071.1349196462
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2025,0.0,0.0
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],2026,0.0,0.0
