Plant ID,Plant name,Country/Area,Status,year,is_operating
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2020,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2021,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2022,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2023,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2024,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2025,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2026,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2027,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2028,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2029,True
P100000120004,Kurum International Elbasan steel plant,Albania,mothballed,2030,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2020,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2021,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2022,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2023,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2024,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2025,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2026,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2027,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2028,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2029,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,operating,2030,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2020,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2021,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2022,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2023,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2024,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2025,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2026,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2027,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2028,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2029,True
P100000120439,Algerian Qatari Steel Jijel plant,Algeria,announced,2030,True
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2020,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2021,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2022,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2023,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2024,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2025,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2026,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2027,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2028,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2029,False
P100000120442,ETRHB Annaba steel plant,Algeria,cancelled,2030,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2020,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2021,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2022,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2023,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2024,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2025,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2026,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2027,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2028,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2029,False
P100000121198,Ozmert Algeria Steel Plant,Algeria,operating,2030,False
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2020,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2021,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2022,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2023,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2024,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2025,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2026,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2027,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2028,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2029,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,operating,2030,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2020,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2021,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2022,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2023,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2024,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2025,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2026,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2027,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2028,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2029,True
P100000120440,Sider El Hadjar Annaba steel plant,Algeria,cancelled,2030,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2020,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2021,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2022,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2023,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2024,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2025,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2026,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2027,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2028,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2029,True
P100000120441,Tosyali Algerie Oran steel plant,Algeria,operating,2030,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2020,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2021,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2022,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2023,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2024,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2025,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2026,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2027,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2028,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2029,True
P100000120005,Aceria Angola Bengo steel plant,Angola,operating,2030,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2020,False
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2021,False
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2022,False
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2023,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2024,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2025,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2026,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2027,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2028,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2029,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,operating,2030,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2020,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2021,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2022,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2023,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2024,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2025,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2026,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2027,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2028,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2029,True
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Angola,announced,2030,True
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2020,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2021,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2022,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2023,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2024,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2025,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2026,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2027,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2028,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2029,False
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,Angola,announced,2030,False
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2020,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2021,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2022,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2023,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2024,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2025,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2026,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2027,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2028,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2029,True
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Argentina,operating,2030,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2020,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2021,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2022,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2023,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2024,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2025,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2026,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2027,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2028,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2029,True
P100000120009,Gerdau Sipar Pérez steel plant,Argentina,operating,2030,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2020,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2021,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2022,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2023,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2024,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2025,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2026,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2027,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2028,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2029,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,operating,2030,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2020,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2021,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2022,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2023,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2024,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2025,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2026,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2027,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2028,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2029,True
P100000120007,TenarisSiderca Campana steel plant,Argentina,retired,2030,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2020,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2021,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2022,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2023,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2024,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2025,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2026,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2027,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2028,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2029,True
P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,2030,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2020,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2021,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2022,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2023,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2024,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2025,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2026,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2027,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2028,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2029,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating,2030,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2020,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2021,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2022,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2023,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2024,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2025,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2026,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2027,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2028,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2029,True
P100000120012,BlueScope Port Kembla steel plant,Australia,mothballed,2030,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2020,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2021,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2022,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2023,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2024,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2025,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2026,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2027,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2028,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2029,True
P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,2030,True
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2020,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2021,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2022,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2023,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2024,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2025,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2026,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2027,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2028,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2029,False
P100001043035,Fortescue Christmas Creek Green Metal Project,Australia,construction,2030,False
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2020,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2021,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2022,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2023,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2024,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2025,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2026,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2027,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2028,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2029,True
P100000120014,GFG Liberty Laverton Steel Mill,Australia,operating,2030,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2020,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2021,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2022,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2023,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2024,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2025,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2026,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2027,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2028,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2029,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,announced,2030,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2020,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2021,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2022,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2023,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2024,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2025,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2026,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2027,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2028,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2029,True
P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,2030,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2020,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2021,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2022,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2023,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2024,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2025,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2026,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2027,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2028,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2029,True
P100000120015,GFG Liberty Sydney Steel Mill,Australia,operating,2030,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2020,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2021,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2022,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2023,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2024,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2025,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2026,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2027,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2028,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2029,True
P100000121147,Green Steel of WA Collie Steel plant,Australia,announced,2030,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2020,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2021,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2022,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2023,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2024,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2025,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2026,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2027,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2028,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2029,True
P100000121163,Green Steel of WA Geraldton Steel plant,Australia,announced,2030,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2020,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2021,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2022,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2023,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2024,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2025,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2026,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2027,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2028,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2029,True
P100001026026,GreenSteel Australia New South Wales Steel Plant,Australia,announced,2030,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2020,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2021,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2022,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2023,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2024,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2025,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2026,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2027,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2028,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2029,True
P100000121161,POSCO Port Hedland Iron Project,Australia,announced,2030,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2020,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2021,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2022,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2023,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2024,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2025,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2026,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2027,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2028,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2029,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,2030,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2020,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2021,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2022,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2023,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2024,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2025,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2026,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2027,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2028,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2029,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,construction,2030,True
P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating pre-retirement,2020,True
